Mark,Part Name,Subassembly,Material,Stock Spec,Length (in),Width (in),Thickness (in),Length (mm),Width (mm),Thickness (mm),Qty,Unit Weight (lb),Operations
P01,Heavy-Duty Wrap-Around Rigid Front Skirt & Wheel Shield,Road Roaster 4W (4-Wheel Commercial Platform Dolly Architecture),Steel-A36,"9.9"" x 6.5"" Stock",24.945,9.921,6.535,633.6,252.0,166.00,1,21.68,"Form 90° front mounting apron channel, drill 3/8"" bolt holes"
P02,Continuous 3/4in Cold-Rolled Steel Pivot Axle & Shaft Collars,Road Roaster 4W (4-Wheel Commercial Platform Dolly Architecture),Steel-ZincPlated,"1.4"" x 1.4"" Stock",20.472,1.378,1.378,520.0,35.0,34.99,1,2.85,"Cut 3/4"" cold-rolled steel axle shaft, mount zinc shaft collars"
P03,Cantilever Drop Arms & Pivot Sleeves (3/4in Axle Hinge),2. Front Cantilever Radiant Burner & Sled Cowl,Steel-A36,"1.0"" × 3/16"" Flat Bar & 1.0"" OD Sleeve",19.610,1.000,0.187,498.1,25.4,4.76,1,21.57,"Cut 3/4"" cold-rolled steel axle shaft, mount zinc shaft collars"
P04,Cantilever Diagonal Hood Braces (Rigidifying Truss),2. Front Cantilever Radiant Burner & Sled Cowl,Steel-A36,"6.5"" x 3.3"" Stock",18.425,6.496,3.309,468.0,165.0,84.05,1,1.03,Fabricate / machine to print
P05,20 lb Propane Foot-Ring Deck Retention Clamp,3. 20lb Propane Tank Mounting & Primary Gas Train,Steel-A36,"2.0"" × 3/16"" Flat Bar",10.686,1.969,0.187,271.4,50.0,4.76,1,2.84,"Cut diamond-plate deck, drill caster mounting holes"
P06,Water Safety Tank Quick-Lock Deck Cradle,4. Handle-Mounted Spot Torch Wand & Water Safety Reservoir,Steel-A36,"7.9"" x 1.4"" Stock",7.874,7.874,1.378,200.0,200.0,35.00,1,5.33,"Cut diamond-plate deck, drill caster mounting holes"
P07,Quick-Draw Torch Handle Stirrup Loop & Guide Saddle,4. Handle-Mounted Spot Torch Wand & Water Safety Reservoir,Steel-ZincPlated,"2.4"" x 1.7"" Stock",10.276,2.441,1.732,261.0,62.0,43.99,1,0.61,Fabricate / machine to print
