Item Name,Category,Material,Specification,Qty,Weight (lb),Subassembly
Axle Ear Brackets (Pillow Flanges Bolted to Skirt),Hardware & Fasteners,Steel-A36,Axle Ear Brackets,1,1.36,Road Roaster 4W (4-Wheel Commercial Platform Dolly Architecture)
Burner Hood Side Mounting Brackets (4-Bolt Pattern),Hardware & Fasteners,Steel-A36,Burner Hood Brackets,1,1.88,2. Front Cantilever Radiant Burner & Sled Cowl
Flexible Reinforced LP Gas Supply Loop (Cart-Side Connection),Plumbing & Fuel Lines,Rubber-Solid,Flexible Gas Supply Hose,1,0.55,2. Front Cantilever Radiant Burner & Sled Cowl
Brass Dual-Outlet Regulator Distribution Manifold Tee,Hardware & Fasteners,Brass-C360,Dual Manifold Gas Tee,1,0.77,3. 20lb Propane Tank Mounting & Primary Gas Train
Auxiliary Spot Torch Flexible Gas Hose,Plumbing & Fuel Lines,Rubber-Solid,Torch Auxiliary Gas Hose,1,0.32,4. Handle-Mounted Spot Torch Wand & Water Safety Reservoir
