Item Name,Category,Material,Specification,Qty,Weight (lb),Subassembly
Tank-Mounted Rotary Flow Control Valve & 11in Regulator,Plumbing & Fuel Lines,Brass-C360,Tank Mounted Regulator Valve,1,0.85,4. Propane Gas Train & Tank-Mounted Rotary Flow Control Valve
Center Support Pipe Hose & Wire Retention Clips,Plumbing & Fuel Lines,Steel-ZincPlated,Center Spine Hose Clips,1,0.06,4. Propane Gas Train & Tank-Mounted Rotary Flow Control Valve
Flexible 3/8in Reinforced LP Gas Hose (Center Support Routed),Plumbing & Fuel Lines,Rubber-Solid,Flexible Gas Feed Hose,1,0.87,4. Propane Gas Train & Tank-Mounted Rotary Flow Control Valve
High-Voltage Silicone Spark Ignition Wire (Center Support Routed),Electrical & Ignition,PowderCoat-StihlOrange,Flexible Spark Ignition Wire,1,0.22,4. Propane Gas Train & Tank-Mounted Rotary Flow Control Valve
